State,District,Season,Crop,Soil_Type,Area,Rainfall,Temperature,Humidity,Soil_pH,N,P,K,Yield_tons_per_ha
Gujarat,GANDHINAGAR,Kharif,maize,Black,500.0,715.6,22.39,65.09,6.25,77.8,48.4,19.8,1.2
Gujarat,GANDHINAGAR,Kharif,rice,Black,8800.0,715.6,23.69,82.27,6.43,79.9,47.6,39.9,2.284
Gujarat,GANDHINAGAR,Kharif,maize,Black,300.0,715.6,22.39,65.09,6.25,77.8,48.4,19.8,1.667
Gujarat,GANDHINAGAR,Kharif,rice,Black,3500.0,715.6,23.69,82.27,6.43,79.9,47.6,39.9,2.314
Gujarat,JAMNAGAR,Whole year,maize,Black,2700.0,498.0,22.39,65.09,6.25,77.8,48.4,19.8,1.667
Gujarat,JAMNAGAR,Kharif,maize,Black,1200.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,1.75
Gujarat,JAMNAGAR,Kharif,maize,Black,900.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,1.222
Gujarat,JAMNAGAR,Kharif,maize,Black,800.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,0.75
Gujarat,JAMNAGAR,Kharif,maize,Black,600.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,2.0
Gujarat,JAMNAGAR,Kharif,maize,Black,2000.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,1.7
Gujarat,JAMNAGAR,Kharif,maize,Black,3000.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,1.733
Gujarat,JAMNAGAR,Kharif,maize,Black,2900.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,0.897
Gujarat,JAMNAGAR,Kharif,maize,Black,1600.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,1.625
Gujarat,JAMNAGAR,Kharif,maize,Black,2600.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,0.308
Gujarat,JAMNAGAR,Kharif,maize,Black,1800.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,1.389
Gujarat,JAMNAGAR,Kharif,maize,Black,1900.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,1.421
Gujarat,JAMNAGAR,Kharif,maize,Black,1100.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,0.909
Gujarat,JAMNAGAR,Kharif,maize,Black,6300.0,462.4,22.39,65.09,6.25,77.8,48.4,19.8,1.635
Gujarat,JUNAGADH,Whole year,banana,Black,400.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,25.5
Gujarat,JUNAGADH,Whole year,maize,Black,700.0,830.4,22.39,65.09,6.25,77.8,48.4,19.8,1.714
Gujarat,JUNAGADH,Whole year,rice,Black,100.0,830.4,23.69,82.27,6.43,79.9,47.6,39.9,2.0
Gujarat,JUNAGADH,Kharif,maize,Black,200.0,787.2,22.39,65.09,6.25,77.8,48.4,19.8,2.0
Gujarat,JUNAGADH,Whole year,banana,Black,400.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,55.0
Gujarat,JUNAGADH,Kharif,maize,Black,200.0,787.2,22.39,65.09,6.25,77.8,48.4,19.8,1.5
Gujarat,JUNAGADH,Whole year,banana,Black,400.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,36.75
Gujarat,JUNAGADH,Kharif,maize,Black,200.0,787.2,22.39,65.09,6.25,77.8,48.4,19.8,0.5
Gujarat,JUNAGADH,Whole year,banana,Black,300.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,58.0
Gujarat,JUNAGADH,Whole year,banana,Black,400.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,48.75
Gujarat,JUNAGADH,Kharif,maize,Black,100.0,787.2,22.39,65.09,6.25,77.8,48.4,19.8,1.0
Gujarat,JUNAGADH,Whole year,banana,Black,300.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,52.667
Gujarat,JUNAGADH,Whole year,banana,Black,100.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,64.0
Gujarat,JUNAGADH,Whole year,banana,Black,100.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,24.0
Gujarat,JUNAGADH,Whole year,banana,Black,100.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,54.0
Gujarat,JUNAGADH,Whole year,banana,Black,100.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,39.0
Gujarat,JUNAGADH,Rabi,maize,Black,24600.0,0.9,22.39,65.09,6.25,77.8,48.4,19.8,1.927
Gujarat,JUNAGADH,Whole year,banana,Black,100.0,830.4,27.38,80.36,5.98,100.2,82.0,50.0,48.0
Gujarat,JUNAGADH,Kharif,rice,Black,200.0,787.2,23.69,82.27,6.43,79.9,47.6,39.9,2.5
Gujarat,KACHCHH,Whole year,banana,Black,300.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,58.0
Gujarat,KACHCHH,Whole year,banana,Black,200.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,52.5
Gujarat,KACHCHH,Whole year,banana,Black,200.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,68.0
Gujarat,KACHCHH,Kharif,maize,Black,1700.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.706
Gujarat,KHEDA,Whole year,banana,Black,6900.0,850.1,27.38,80.36,5.98,100.2,82.0,50.0,52.0
Gujarat,KHEDA,Whole year,maize,Black,15200.0,850.1,22.39,65.09,6.25,77.8,48.4,19.8,1.98
Gujarat,KHEDA,Whole year,rice,Black,155600.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,1.758
Gujarat,KHEDA,Kharif,maize,Black,12800.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,1.922
Gujarat,KHEDA,Kharif,rice,Black,145200.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,1.972
Gujarat,KHEDA,Whole year,banana,Black,5900.0,850.1,27.38,80.36,5.98,100.2,82.0,50.0,62.424
Gujarat,KHEDA,Kharif,maize,Black,8600.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,2.302
Gujarat,KHEDA,Kharif,rice,Black,169100.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,2.152
Gujarat,KHEDA,Whole year,banana,Black,6500.0,850.1,27.38,80.36,5.98,100.2,82.0,50.0,54.523
Gujarat,KHEDA,Kharif,maize,Black,12800.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,1.555
Gujarat,KHEDA,Kharif,rice,Black,112500.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,0.652
Gujarat,KHEDA,Summer,rice,Black,100.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,5.0
Gujarat,KHEDA,Whole year,banana,Black,11100.0,850.1,27.38,80.36,5.98,100.2,82.0,50.0,50.766
Gujarat,KHEDA,Kharif,maize,Black,20500.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,2.005
Gujarat,KHEDA,Kharif,rice,Black,171800.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,1.795
Gujarat,KHEDA,Summer,rice,Black,300.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,2.667
Gujarat,KHEDA,Kharif,maize,Black,23100.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,2.792
Gujarat,KHEDA,Kharif,rice,Black,71200.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,1.313
Gujarat,KHEDA,Summer,rice,Black,200.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,4.0
Gujarat,KHEDA,Kharif,maize,Black,25500.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,1.722
Gujarat,KHEDA,Kharif,rice,Black,98800.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,2.013
Gujarat,KHEDA,Summer,rice,Black,10000.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,3.44
Gujarat,KHEDA,Kharif,maize,Black,17200.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,1.366
Gujarat,KHEDA,Kharif,rice,Black,99400.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,2.253
Gujarat,KHEDA,Summer,rice,Black,2800.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,2.893
Gujarat,KHEDA,Kharif,maize,Black,22900.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,1.581
Gujarat,KHEDA,Kharif,rice,Black,89700.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,2.436
Gujarat,KHEDA,Summer,rice,Black,1800.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,3.056
Gujarat,KHEDA,Whole year,banana,Black,100.0,850.1,27.38,80.36,5.98,100.2,82.0,50.0,41.0
Gujarat,KHEDA,Kharif,maize,Black,33100.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,0.668
Gujarat,KHEDA,Kharif,rice,Black,92400.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,1.832
Gujarat,KHEDA,Summer,rice,Black,7900.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,2.81
Gujarat,KHEDA,Kharif,maize,Black,20200.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,1.124
Gujarat,KHEDA,Kharif,rice,Black,99800.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,2.379
Gujarat,KHEDA,Summer,rice,Black,4800.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,3.146
Gujarat,KHEDA,Whole year,banana,Black,100.0,850.1,27.38,80.36,5.98,100.2,82.0,50.0,34.0
Gujarat,KHEDA,Kharif,maize,Black,20200.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,1.485
Gujarat,KHEDA,Kharif,rice,Black,101100.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,2.093
Gujarat,KHEDA,Summer,rice,Black,2300.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,2.826
Gujarat,KHEDA,Whole year,banana,Black,100.0,850.1,27.38,80.36,5.98,100.2,82.0,50.0,44.0
Gujarat,KHEDA,Kharif,maize,Black,14100.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,0.894
Gujarat,KHEDA,Kharif,rice,Black,87100.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,2.311
Gujarat,KHEDA,Summer,rice,Black,5300.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,2.774
Gujarat,KHEDA,Whole year,banana,Black,100.0,850.1,27.38,80.36,5.98,100.2,82.0,50.0,57.0
Gujarat,KHEDA,Kharif,maize,Black,16700.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,1.796
Gujarat,KHEDA,Kharif,rice,Black,87300.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,2.411
Gujarat,KHEDA,Rabi,maize,Black,3600.0,1.6,22.39,65.09,6.25,77.8,48.4,19.8,1.861
Gujarat,KHEDA,Summer,maize,Black,3900.0,850.1,22.39,65.09,6.25,77.8,48.4,19.8,2.077
Gujarat,KHEDA,Summer,rice,Black,10100.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,2.554
Gujarat,KHEDA,Kharif,maize,Black,14800.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,1.723
Gujarat,KHEDA,Kharif,rice,Black,97500.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,2.182
Gujarat,KHEDA,Rabi,maize,Black,200.0,1.6,22.39,65.09,6.25,77.8,48.4,19.8,2.0
Gujarat,KHEDA,Summer,rice,Black,12000.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,2.817
Gujarat,KHEDA,Kharif,maize,Black,8300.0,811.6,22.39,65.09,6.25,77.8,48.4,19.8,1.819
Gujarat,KHEDA,Kharif,rice,Black,81700.0,811.6,23.69,82.27,6.43,79.9,47.6,39.9,2.381
Gujarat,KHEDA,Summer,maize,Black,100.0,850.1,22.39,65.09,6.25,77.8,48.4,19.8,1.0
Gujarat,KHEDA,Summer,rice,Black,2600.0,850.1,23.69,82.27,6.43,79.9,47.6,39.9,3.192
Gujarat,MAHESANA,Whole year,rice,Black,13800.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.978
Gujarat,MAHESANA,Kharif,maize,Black,200.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.5
Gujarat,MAHESANA,Kharif,rice,Black,11400.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.947
Gujarat,MAHESANA,Kharif,maize,Black,200.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.5
Gujarat,MAHESANA,Kharif,rice,Black,11700.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.47
Gujarat,MAHESANA,Kharif,maize,Black,300.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,0.667
Gujarat,MAHESANA,Kharif,rice,Black,10200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.696
Gujarat,MAHESANA,Kharif,maize,Black,400.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,2.25
Gujarat,MAHESANA,Kharif,rice,Black,12600.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.873
Gujarat,MAHESANA,Kharif,maize,Black,600.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.667
Gujarat,MAHESANA,Kharif,rice,Black,3700.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.432
Gujarat,MAHESANA,Kharif,maize,Black,400.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.75
Gujarat,MAHESANA,Kharif,rice,Black,7200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.347
Gujarat,MAHESANA,Kharif,maize,Black,100.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.0
Gujarat,MAHESANA,Kharif,rice,Black,4500.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.422
Gujarat,MAHESANA,Kharif,maize,Black,1000.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.5
Gujarat,MAHESANA,Kharif,rice,Black,6000.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.267
Gujarat,MAHESANA,Kharif,maize,Black,100.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.0
Gujarat,MAHESANA,Kharif,rice,Black,8100.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.062
Gujarat,MAHESANA,Kharif,maize,Black,100.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.0
Gujarat,MAHESANA,Kharif,rice,Black,8300.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.301
Gujarat,MAHESANA,Kharif,maize,Black,1100.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.455
Gujarat,MAHESANA,Kharif,rice,Black,5900.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.051
Gujarat,MAHESANA,Kharif,maize,Black,600.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.0
Gujarat,MAHESANA,Kharif,rice,Black,6200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.532
Gujarat,MAHESANA,Kharif,maize,Black,600.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.667
Gujarat,MAHESANA,Kharif,rice,Black,8200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.122
Gujarat,MAHESANA,Rabi,maize,Black,1500.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,2.0
Gujarat,MAHESANA,Kharif,maize,Black,500.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.2
Gujarat,MAHESANA,Kharif,rice,Black,5400.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.796
Gujarat,MAHESANA,Kharif,maize,Black,400.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.5
Gujarat,MAHESANA,Kharif,rice,Black,1400.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.286
Gujarat,NARMADA,Kharif,maize,Black,9800.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,2.337
Gujarat,NARMADA,Kharif,rice,Black,13900.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.777
Gujarat,NARMADA,Whole year,banana,Black,4000.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,66.15
Gujarat,NARMADA,Kharif,maize,Black,7000.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,0.914
Gujarat,NARMADA,Kharif,rice,Black,12200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.934
Gujarat,NARMADA,Whole year,banana,Black,3400.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,70.0
Gujarat,NARMADA,Kharif,maize,Black,7400.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.581
Gujarat,NARMADA,Kharif,rice,Black,10800.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.796
Gujarat,NARMADA,Kharif,maize,Black,5700.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.0
Gujarat,NARMADA,Kharif,rice,Black,13000.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.746
Gujarat,NARMADA,Kharif,maize,Black,5700.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.491
Gujarat,NARMADA,Kharif,rice,Black,13600.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.853
Gujarat,NARMADA,Whole year,banana,Black,4600.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,63.674
Gujarat,NARMADA,Kharif,maize,Black,5600.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.446
Gujarat,NARMADA,Kharif,rice,Black,15200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.901
Gujarat,NARMADA,Kharif,maize,Black,5100.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,0.961
Gujarat,NARMADA,Kharif,rice,Black,15000.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.547
Gujarat,NARMADA,Kharif,maize,Black,5300.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.642
Gujarat,NARMADA,Kharif,rice,Black,12000.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.875
Gujarat,NARMADA,Rabi,maize,Black,4300.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.884
Gujarat,NARMADA,Summer,maize,Black,1800.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,2.056
Gujarat,NARMADA,Whole year,banana,Black,5200.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,68.962
Gujarat,NARMADA,Kharif,maize,Black,5500.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.382
Gujarat,NARMADA,Kharif,rice,Black,17900.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.821
Gujarat,NARMADA,Rabi,maize,Black,3600.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,2.25
Gujarat,NARMADA,Summer,maize,Black,1800.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.944
Gujarat,NARMADA,Whole year,banana,Black,5600.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,62.661
Gujarat,NARMADA,Kharif,maize,Black,5800.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.69
Gujarat,NARMADA,Kharif,rice,Black,11600.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.103
Gujarat,NARMADA,Summer,maize,Black,400.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,2.25
Gujarat,NARMADA,Summer,rice,Black,100.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.0
Gujarat,NARMADA,Whole year,banana,Black,5800.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,64.948
Gujarat,NAVSARI,Kharif,rice,Black,43200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.382
Gujarat,NAVSARI,Summer,rice,Black,6500.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.877
Gujarat,NAVSARI,Whole year,banana,Black,200.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,51.5
Gujarat,NAVSARI,Kharif,rice,Black,42900.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.149
Gujarat,NAVSARI,Summer,rice,Black,4900.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.102
Gujarat,NAVSARI,Whole year,banana,Black,200.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,55.5
Gujarat,NAVSARI,Kharif,rice,Black,34900.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.504
Gujarat,NAVSARI,Summer,rice,Black,5600.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.196
Gujarat,NAVSARI,Whole year,banana,Black,200.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,66.0
Gujarat,NAVSARI,Kharif,rice,Black,35900.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.279
Gujarat,NAVSARI,Summer,rice,Black,6300.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.032
Gujarat,NAVSARI,Kharif,rice,Black,44800.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.511
Gujarat,NAVSARI,Summer,rice,Black,6100.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.082
Gujarat,NAVSARI,Kharif,rice,Black,46300.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.402
Gujarat,NAVSARI,Summer,rice,Black,6100.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.984
Gujarat,NAVSARI,Whole year,banana,Black,300.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,69.0
Gujarat,NAVSARI,Kharif,rice,Black,59900.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.487
Gujarat,NAVSARI,Summer,rice,Black,1100.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.818
Gujarat,NAVSARI,Whole year,banana,Black,300.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,58.667
Gujarat,NAVSARI,Kharif,rice,Black,62600.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.577
Gujarat,NAVSARI,Summer,rice,Black,24900.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.024
Gujarat,NAVSARI,Kharif,rice,Black,52200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.565
Gujarat,NAVSARI,Summer,rice,Black,27400.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.945
Gujarat,NAVSARI,Whole year,banana,Black,300.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,60.0
Gujarat,NAVSARI,Kharif,rice,Black,51300.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.499
Gujarat,NAVSARI,Summer,rice,Black,8300.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.241
Gujarat,NAVSARI,Whole year,banana,Black,200.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,62.0
Gujarat,PANCH MAHALS,Whole year,banana,Black,100.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,30.0
Gujarat,PANCH MAHALS,Whole year,maize,Black,190300.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.437
Gujarat,PANCH MAHALS,Whole year,rice,Black,119200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.189
Gujarat,PANCH MAHALS,Kharif,maize,Black,201800.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.513
Gujarat,PANCH MAHALS,Kharif,rice,Black,106600.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.977
Gujarat,PANCH MAHALS,Kharif,maize,Black,183700.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.113
Gujarat,PANCH MAHALS,Kharif,rice,Black,100400.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.399
Gujarat,PANCH MAHALS,Whole year,banana,Black,100.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,55.0
Gujarat,PANCH MAHALS,Kharif,maize,Black,184300.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,0.562
Gujarat,PANCH MAHALS,Kharif,rice,Black,91200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.107
Gujarat,PANCH MAHALS,Whole year,banana,Black,100.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,48.0
Gujarat,PANCH MAHALS,Kharif,maize,Black,204300.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.86
Gujarat,PANCH MAHALS,Kharif,rice,Black,84900.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.243
Gujarat,PANCH MAHALS,Whole year,banana,Black,100.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,42.0
Gujarat,PANCH MAHALS,Kharif,maize,Black,219200.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.926
Gujarat,PANCH MAHALS,Kharif,rice,Black,86200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.305
Gujarat,PANCH MAHALS,Kharif,maize,Black,106500.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.349
Gujarat,PANCH MAHALS,Kharif,rice,Black,61600.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.015
Gujarat,PANCH MAHALS,Summer,rice,Black,100.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,5.0
Gujarat,PANCH MAHALS,Whole year,banana,Black,300.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,61.667
Gujarat,PANCH MAHALS,Kharif,maize,Black,114800.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,0.67
Gujarat,PANCH MAHALS,Kharif,rice,Black,69300.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.745
Gujarat,PANCH MAHALS,Summer,rice,Black,500.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.6
Gujarat,PANCH MAHALS,Whole year,banana,Black,200.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,66.0
Gujarat,PANCH MAHALS,Kharif,maize,Black,117200.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.311
Gujarat,PANCH MAHALS,Kharif,rice,Black,71300.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.881
Gujarat,PANCH MAHALS,Summer,rice,Black,1200.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.083
Gujarat,PANCH MAHALS,Whole year,banana,Black,200.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,68.0
Gujarat,PANCH MAHALS,Kharif,maize,Black,115700.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,0.178
Gujarat,PANCH MAHALS,Kharif,rice,Black,70800.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.71
Gujarat,PANCH MAHALS,Summer,rice,Black,300.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.0
Gujarat,PANCH MAHALS,Whole year,banana,Black,100.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,60.0
Gujarat,PANCH MAHALS,Kharif,maize,Black,117200.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.304
Gujarat,PANCH MAHALS,Kharif,rice,Black,77400.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.043
Gujarat,PANCH MAHALS,Summer,rice,Black,1000.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.0
Gujarat,PANCH MAHALS,Kharif,maize,Black,113900.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.176
Gujarat,PANCH MAHALS,Kharif,rice,Black,72100.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,0.718
