Crop,Soil_Type,Rainfall,Temperature,Humidity,Soil_pH,N,P,K,Yield_tons_per_ha
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,1.667
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,1.907
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,3.75
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,2.841
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,1.712
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,4.833
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,3.445
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,2.603
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,1.924
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,5.364
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,1.829
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,14.139
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,2.672
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.202
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,6.473
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.269
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,12.564
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,0.97
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,1.747
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,6.916
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.535
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,19.384
mango,Red,1165.2,31.21,50.16,5.77,20.1,27.2,29.9,1.389
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,1.716
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.241
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,5.6
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.04
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,5.613
mango,Red,1165.2,31.21,50.16,5.77,20.1,27.2,29.9,4.477
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,2.954
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.351
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,7.229
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.613
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,12.838
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,3.578
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,1.768
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,7.471
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.385
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,16.78
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,2.742
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.535
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,7.577
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.109
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,19.897
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,3.5
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,3.05
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,11.0
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,3.0
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,3.217
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.01
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,8.83
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.321
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,20.62
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,3.608
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.1
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,7.31
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.366
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,23.022
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,2.982
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,0.814
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,9.117
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.37
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,25.492
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,3.69
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,1.917
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,7.759
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.109
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,26.64
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,3.916
mango,Red,1165.2,31.21,50.16,5.77,20.1,27.2,29.9,13.216
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.53
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,7.086
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.729
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,3.17
mango,Red,1165.2,31.21,50.16,5.77,20.1,27.2,29.9,6.986
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,1.738
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,7.454
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.382
banana,Red,1165.2,27.38,80.36,5.98,100.2,82.0,50.0,19.632
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,3.991
mango,Red,1165.2,31.21,50.16,5.77,20.1,27.2,29.9,6.996
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.116
maize,Red,1165.2,22.39,65.09,6.25,77.8,48.4,19.8,8.027
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.72
rice,Red,1165.2,23.69,82.27,6.43,79.9,47.6,39.9,2.13
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.016
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,0.834
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,3.667
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,3.222
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.344
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.23
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,4.667
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,3.711
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.423
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.296
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,4.842
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,3.549
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.041
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.591
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,5.384
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,2.251
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,18.458
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.1
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.675
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,6.473
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,2.027
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,7.733
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.841
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,0.99
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,6.93
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.539
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,17.076
mango,Red,945.1,31.21,50.16,5.77,20.1,27.2,29.9,5.491
orange,Red,945.1,22.77,92.17,7.02,19.6,16.6,10.0,17.787
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.801
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.616
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,5.6
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.972
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,12.333
mango,Red,945.1,31.21,50.16,5.77,20.1,27.2,29.9,2.473
orange,Red,945.1,22.77,92.17,7.02,19.6,16.6,10.0,15.23
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.74
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.689
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,7.229
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.412
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,21.688
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.837
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.474
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,7.471
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.851
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,14.617
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.314
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.912
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,7.577
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,2.028
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,7.568
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.286
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,2.031
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,11.0
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,2.0
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.426
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.683
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,8.83
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.9
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,10.313
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,2.186
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.056
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,7.31
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.516
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,29.479
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.605
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.744
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,9.117
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.292
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,15.617
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,3.949
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.523
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,7.759
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.136
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,16.851
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,2.198
mango,Red,945.1,31.21,50.16,5.77,20.1,27.2,29.9,9.964
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.434
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,7.086
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,2.036
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.306
mango,Red,945.1,31.21,50.16,5.77,20.1,27.2,29.9,11.484
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.739
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,7.454
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.942
banana,Red,945.1,27.38,80.36,5.98,100.2,82.0,50.0,19.632
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,1.565
mango,Red,945.1,31.21,50.16,5.77,20.1,27.2,29.9,2.752
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.627
maize,Red,945.1,22.39,65.09,6.25,77.8,48.4,19.8,8.027
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,2.494
rice,Red,945.1,23.69,82.27,6.43,79.9,47.6,39.9,1.687
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,1.6
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,1.422
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,3.778
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,3.2
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,2.125
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.223
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,4.938
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,3.694
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,2.841
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,1.898
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,4.841
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,3.498
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,2.604
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,1.65
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,5.384
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.772
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,9.889
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,2.673
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,1.878
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,6.473
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.61
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,12.554
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,0.969
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,1.228
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,6.93
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.623
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,20.768
mango,Red,1140.4,31.21,50.16,5.77,20.1,27.2,29.9,1.742
orange,Red,1140.4,22.77,92.17,7.02,19.6,16.6,10.0,17.939
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,1.716
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.101
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,4.899
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.437
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,22.959
mango,Red,1140.4,31.21,50.16,5.77,20.1,27.2,29.9,2.241
orange,Red,1140.4,22.77,92.17,7.02,19.6,16.6,10.0,15.098
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,4.666
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.327
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,3.763
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,1.679
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,24.469
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,4.148
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,1.39
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,3.967
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.541
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,24.294
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,3.049
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.397
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,3.702
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,1.803
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,20.096
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,3.75
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.919
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,4.286
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.333
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,2.794
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.388
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,4.335
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.385
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,17.491
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,3.863
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.198
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,3.591
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.521
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,18.776
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,2.707
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.575
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,4.331
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,3.233
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,21.35
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,2.704
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.147
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,6.221
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.448
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,17.98
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,3.982
mango,Red,1140.4,31.21,50.16,5.77,20.1,27.2,29.9,2.788
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.574
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,4.923
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.139
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,3.014
mango,Red,1140.4,31.21,50.16,5.77,20.1,27.2,29.9,3.12
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.475
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,5.646
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.728
banana,Red,1140.4,27.38,80.36,5.98,100.2,82.0,50.0,10.86
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,2.871
mango,Red,1140.4,31.21,50.16,5.77,20.1,27.2,29.9,3.393
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.638
maize,Red,1140.4,22.39,65.09,6.25,77.8,48.4,19.8,7.678
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,3.232
rice,Red,1140.4,23.69,82.27,6.43,79.9,47.6,39.9,2.664
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,1.75
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,2.55
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,3.775
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,3.503
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,2.2
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,2.467
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,4.978
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.37
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,2.841
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,2.566
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,4.841
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.038
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,2.604
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,2.911
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,5.384
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.319
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,14.367
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,2.673
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,2.589
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,6.464
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.682
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,12.075
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,0.969
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,3.072
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,7.165
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.327
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,22.201
mango,Red,1160.4,31.21,50.16,5.77,20.1,27.2,29.9,4.682
orange,Red,1160.4,22.77,92.17,7.02,19.6,16.6,10.0,17.759
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,1.716
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,3.499
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,5.785
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.872
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,4.245
mango,Red,1160.4,31.21,50.16,5.77,20.1,27.2,29.9,3.458
orange,Red,1160.4,22.77,92.17,7.02,19.6,16.6,10.0,15.176
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,2.954
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,3.448
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,6.275
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.594
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,25.86
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,3.578
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,1.877
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,5.903
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.61
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,9.435
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,2.742
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,2.781
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,7.156
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.635
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,19.476
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,9.0
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,3.248
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,6.647
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.24
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,4.668
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,3.048
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,8.078
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.214
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,19.426
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,5.059
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,3.101
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,6.967
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,3.932
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,28.728
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,5.893
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,2.182
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,6.931
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.649
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,25.293
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,5.859
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,3.181
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,6.773
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.406
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,34.491
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,4.623
mango,Red,1160.4,31.21,50.16,5.77,20.1,27.2,29.9,14.608
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,1.989
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,6.087
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.488
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,4.008
mango,Red,1160.4,31.21,50.16,5.77,20.1,27.2,29.9,7.92
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,2.169
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,7.278
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,4.555
banana,Red,1160.4,27.38,80.36,5.98,100.2,82.0,50.0,21.709
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,5.857
mango,Red,1160.4,31.21,50.16,5.77,20.1,27.2,29.9,13.662
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,3.168
maize,Red,1160.4,22.39,65.09,6.25,77.8,48.4,19.8,6.734
rice,Red,1160.4,23.69,82.27,6.43,79.9,47.6,39.9,5.011
